angular_z,linear_x,left_forward,right_forward,left_side,right_side,ans,time
0.108908549,0.141900003,54,52,390,468,0,45.9
0.108908549,0.141900003,54,52,390,468,0,45.95
0.064228117,0.139500007,70,50,399,445,0,46
0.064228117,0.139500007,70,50,399,445,0,46.05
-0.051661745,0.138750002,75,67,467,430,0,46.1
-0.051661745,0.138750002,75,67,467,430,0,46.15
-0.065624379,0.138899997,74,45,464,417,0,46.2
-0.065624379,0.138899997,74,45,464,417,0,46.25
-0.030717796,0.136500001,90,46,460,438,0,46.3
-0.030717796,0.136500001,90,46,460,438,0,46.35
-0.01675516,0.136800006,88,83,434,422,0,46.4
-0.01675516,0.136800006,88,83,434,422,0,46.45
-0.002792527,0.135600001,96,81,435,433,0,46.5
-0.002792527,0.135600001,96,81,435,433,0,46.55
0.048869219,0.132750005,115,62,405,440,0,46.6
0.048869219,0.132750005,115,62,405,440,0,46.65
0.041887902,0.135450006,97,83,430,460,0,46.7
0.041887902,0.135450006,97,83,430,460,0,46.75
-0.047472954,0.130050004,133,99,449,415,0,46.8
-0.047472954,0.130050004,133,99,449,415,0,46.85
-0.051661745,0.129749998,135,101,452,415,0,46.9
-0.051661745,0.129749998,135,101,452,415,0,46.95
-0.044680428,0.128700003,142,108,417,385,0,47
-0.044680428,0.128700003,142,108,417,385,0,47.05
-0.071209431,0.125850007,161,117,445,394,0,47.1
-0.071209431,0.125850007,161,117,445,394,0,47.15
-0.128456235,0.124349996,171,140,479,387,0,47.2
-0.128456235,0.124349996,171,140,479,387,0,47.25
0,0.12015,199,180,442,442,0,47.3
0,0.12015,199,180,442,442,0,47.35
0.00418879,0.116999999,220,193,457,460,0,47.4
0.00418879,0.116999999,220,193,457,460,0,47.45
-0.048869219,0.115500003,230,212,464,429,0,47.5
-0.048869219,0.115500003,230,212,464,429,0,47.55
-0.097738437,0.110550001,263,247,469,399,0,47.6
-0.097738437,0.110550001,263,247,469,399,0,47.65
-0.100530967,0.104850002,301,257,477,405,0,47.7
-0.100530967,0.104850002,301,257,477,405,0,47.75
-0.037699111,0.100950003,327,316,448,421,0,47.8
-0.037699111,0.100950003,327,316,448,421,0,47.85
-0.062831856,0.093000002,380,361,460,415,0,47.9
-0.062831856,0.093000002,380,361,460,415,0,47.95
-0.048869219,0.086400002,424,417,472,437,0,48
-0.048869219,0.086400002,424,417,472,437,0,48.05
-0.034906585,0.075900003,488,494,459,434,0,48.1
-0.034906585,0.075900003,488,494,459,434,0,48.15
0.006981317,0.066749997,521,555,450,455,0,48.2
0.006981317,0.066749997,521,555,450,455,0,48.25
-0.046076693,0.057750002,536,615,464,431,0,48.3
-0.046076693,0.057750002,536,615,464,431,0,48.35
-0.029321531,0.050250001,591,665,472,451,0,48.4
-0.029321531,0.050250001,591,665,472,451,0,48.45
-0.039095376,0.045600001,629,696,473,445,0,48.5
-0.039095376,0.045600001,629,696,473,445,0,48.55
-0.022340214,0.036600001,686,756,471,455,0,48.6
-0.022340214,0.036600001,686,756,471,455,0,48.65
0.040491637,0.032699998,703,782,445,474,0,48.7
0.040491637,0.032699998,703,782,445,474,0,48.75
0.054454274,0.0285,694,810,458,497,0,48.8
0.054454274,0.0285,694,810,458,497,0,48.85
-0.00418879,0.02715,716,819,458,455,0,48.9
-0.00418879,0.02715,716,819,458,455,0,48.95
0.030717796,0.024599999,711,836,450,472,0,49
0.030717796,0.024599999,711,836,450,472,0,49.05
-0.012566371,0.024599999,729,836,471,462,0,49.1
-0.012566371,0.024599999,729,836,471,462,0,49.15
0.002792527,0.022500001,735,850,454,456,0,49.2
0.002792527,0.022500001,735,850,454,456,0,49.25
0.043284167,0.02115,715,859,453,484,0,49.3
1.570796371,0,715,859,453,484,0,49.35
1.570796371,0,720,845,489,450,0,49.4
1.570796371,0,720,845,489,450,0,49.45
1.570796371,0,503,623,666,394,0,49.5
1.570796371,0,503,623,666,394,0,49.55
1.570796371,0,378,565,963,310,0,49.6
1.570796371,0,378,565,963,310,0,49.65
1.570796371,0,217,546,1358,372,0,49.7
1.570796371,0,217,546,1358,372,0,49.75
1.570796371,0,313,510,2246,417,0,49.8
1.570796371,0,313,510,2246,417,0,49.85
1.570796371,0,430,429,2964,489,0,49.9
1.570796371,0,430,429,2964,489,0,49.95
1.570796371,0,522,341,2309,515,0,50
1.570796371,0,522,341,2309,515,0,50.05
1.570796371,0,560,401,2277,578,0,50.1
1.570796371,0,560,401,2277,578,0,50.15
1.570796371,0,573,461,2216,828,0,50.2
1.570796371,0,573,461,2216,828,0,50.25
1.570796371,0,648,650,2073,522,0,50.3
1.570796371,0,648,650,2073,522,0,50.35
1.570796371,0,690,852,1873,358,0,50.4
1.570796371,0,690,852,1873,358,0,50.45
1.570796371,0,773,1194,1543,279,0,50.5
1.570796371,0,773,1194,1543,279,0,50.55
1.570796371,0,1026,1962,1147,386,0,50.6
1.570796371,0,1026,1962,1147,386,0,50.65
1.570796371,0,779,2085,642,685,0,50.7
1.570796371,0,779,2085,642,685,0,50.75
1.570796371,0,759,1579,268,945,0,50.8
1.570796371,0,759,1579,268,945,0,50.85
1.570796371,0,599,1527,76,1127,0,50.9
1.570796371,0,599,1527,76,1127,0,50.95
1.570796371,0,485,1452,30,1225,0,51
1.570796371,0,485,1452,30,1225,0,51.05
1.570796371,0,391,1325,30,1319,0,51.1
1.570796371,0,391,1325,30,1319,0,51.15
1.570796371,0,291,1255,20,1395,0,51.2
1.570796371,0,291,1255,20,1395,0,51.25
1.570796371,0,184,1066,14,1474,0,51.3
1.570796371,0,184,1066,14,1474,0,51.35
1.570796371,0,122,919,8,1663,0,51.4
1.570796371,0,122,919,8,1663,0,51.45
1.570796371,0,70,586,27,1403,0,51.5
1.570796371,0,70,586,27,1403,0,51.55
1.570796371,0,26,317,52,1190,0,51.6
1.570796371,0,26,317,52,1190,0,51.65
1.123992085,0.132599995,13,116,117,922,0,51.7
1.123992085,0.132599995,13,116,117,922,0,51.75
1.123992085,0.132599995,13,116,117,922,0,51.8
0.737227082,0.142949998,21,47,202,730,0,51.85
0.737227082,0.142949998,21,47,202,730,0,51.9
0.367217273,0.144150004,32,39,309,572,0,51.95
0.367217273,0.144150004,32,39,309,572,0,52
0.201061934,0.143700004,37,42,363,507,0,52.05
0.201061934,0.143700004,37,42,363,507,0,52.1
0.148003921,0.142800003,48,37,404,510,0,52.15
0.148003921,0.142800003,48,37,404,510,0,52.2
0.085172065,0.142800003,40,48,415,476,0,52.25
0.085172065,0.142800003,40,48,415,476,0,52.3
0.023736477,0.141900003,54,40,433,450,0,52.35
0.023736477,0.141900003,54,40,433,450,0,52.4
-0.018151425,0.141900003,54,48,447,434,0,52.45
-0.018151425,0.141900003,54,48,447,434,0,52.5
0.037699111,0.142049998,53,39,427,454,0,52.55
0.037699111,0.142049998,53,39,427,454,0,52.6
0.020943951,0.141299993,58,49,398,413,0,52.65
0.020943951,0.141299993,58,49,398,413,0,52.7
0.057246801,0.141599998,56,56,402,443,0,52.75
0.057246801,0.141599998,56,56,402,443,0,52.8
0.043284167,0.140400007,64,44,418,449,0,52.85
0.043284167,0.140400007,64,44,418,449,0,52.9
-0.006981317,0.139200002,72,53,449,444,0,52.95
-0.006981317,0.139200002,72,53,449,444,0,53
-0.006981317,0.139349997,71,63,448,443,0,53.05
-0.006981317,0.139349997,71,63,448,443,0,53.1
-0.03351032,0.139200002,72,45,441,417,0,53.15
-0.03351032,0.139200002,72,45,441,417,0,53.2
-0.027925268,0.138899997,74,72,449,429,0,53.25
